,text,Sentiment
151,"tunggu komando imam bejat cabul . tai bir apa apa bawa ulama, dasar banj sempak ",negative
152,kabinet berantakan pemecah belah persatuan hanya ada di rezim ini ,negative
153,"dih! mengakui lebih pintar dari orang politik, mengaca dulu oi tampang kamu saja k k orang bego! wkwk ",neutral
154,"partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible, lalu dilelang murah pada antek cina. ntb contoh kasus. partai demokrasi indonesia perjuangan mau menang? dasar bajingan ",negative
155,tidak percaya sama mulut buaya mu bawang ,positive
156,"2019, jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi , maka peristiwa 2004 akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh sby. tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo, mk pemilihan presiden selesai sudah. jika 3 poros di pilpres, mk salah satu lawan",neutral
157,jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi,positive
158,"bebal,",positive
159,"yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia, yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka. obviously ",negative
160,umuh begitu persib persib kunyuk! ,positive
161,"buat film muslim pilih ahok mati enggak di sholatin, dijamin laris ,",negative
162,tapi banu banu yahudi itu tentu beda dengan banu banu kristen syriac. salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah ,negative
163,eh kenapa muka merah merah tu? tak dapat cendol ke? bukan lah setan cuaca sekarang nih panas. ,positive
164,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi. sebenarnya itu media menumpahkan sakit hati katak dan cebong. ehe,negative
165,"giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini, rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i, tepatnya di rumah rudi panjaitan, helman siahaan dan hotman siahaan",neutral
166,"sayang banget ya melihat perempuan kayak gini, tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini. haduh, nagita slavina blak blak sebut ayu ting ting kampungan viva uniform resource locator",negative
167,"jangan lupa juga kang, umat katolik dan minoritas lainnya diperhatika. gubernur untuk semua golongan bukan satu golongan. ",negative
168,kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong? ,negative
169,"kelemahan gerindra itu ada di orang ini,,prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno ",negative
170,"selamat hari kaini, setiap kali selalu dirayakan, lalu apa maknanya kali ini ? ?",neutral
171,"foto memang bisu ,tpi memiliki banyak ai yang susah diaikan,sma sepei kamu susah diaikan,mau putus atau lanjut ? ",neutral
172,wkwk aku sudah mengalaminya setibanya muncul grub wa a.n bani abdi hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja ,negative
173,"ayah pres badar dan nuqaba paling boekkk ?, dia nih hebat dalam bidang agama, x takut natural killer tegur member sndiri, dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu ?,",negative
174,?seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. beliau adalah allah ya rahman tun abdul razak ? ds malaysia memilih hogohundi,neutral
175,"haha sialaaan nih sih , ternyata kalau lagi laper, presiden juga mau disikat sama dia ?",negative
176,"mau menasihati kali supaya tidak ugal ugalan nih rezim, eh tapi ini negeri sudah keburu ancor,nah sekarang saja ekonomi moral marit, kacaoooooo! ",negative
177,"alah silit kebeler,. kenapa dikasianin,., orang makin sayang saya pak,., setelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin.,. tar gue ceritain,., duuuhhh,. ",neutral
178,"iya, tadi cacat ",negative
179,"tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya 1, tukang tipu ! cebong adalah gitu, goblok enggak ketulungan. plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden ",negative
180,"aku pernah sempat baca tentang harun yahya ini yang membelot ke kubu yahudi dengan freemason nya,kdg suka tidak percaya, ",positive
181,kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia ikut gus mus,negative
