,text,label
127,"makan siang dengan istri dan anak anak saat tahun baru di restoran ini sangat chaotic . pertama tama perlu waktu tunggu untuk dapatkan kursi saat tiba 5 menit , setelah duduk , kami tidak langsung didatangi pelayan saji dengan daftar menu nya , perlu waktu 10 menit lagi , meja di hadapan kami pun sampai 30 menit belum dibersihkan , sampai makanan tiba . cukup menyebalkan .",negative
128,asian games sedikit mengecewakan karena disusupi politikus kotor pencari suaka elektabilitas !,negative
129,jokowi bicara revolusi mental hanya sekadar propaganda .,negative
130,mementingkan kesenangan diri sendiri . bikin macet !,negative
131,palace hotel cipanas ini sangat sangat sangat sangat tidak rekomendasi untuk urusan reservasi dan pesan . terlalu ribet harus pakai ngotot .,negative
132,gua sudah gang erti lagi itu yang digereja bodo semua apa memang isi nya aliran sesat semua gila .,negative
133,sinyal 4 tidak paketan juga masih setuju tapi koneksi bikin sakit hati dan tidak senang,negative
134,partai munafik ! dulu jaman nya presiden suharto dan sby semua kebijakan nya didemo . eh sekarang apapun kebijakan presiden nya yang merugikan rakyat sepi demo .,negative
135,bagaimana pun juga tetap lebih enak ayam ke . minuman nya saya tidak ada yang suka . ayam goreng nya biasa saja . ada saus keju tapi saya tidak suka saus keju di sini . tidak enak .,negative
136,kasihan deh susulan nya lisan : lol mana ada jam matkul ham 10.10 anjing,negative
137,"saya datang per 8 dengan teman-teman saya sehingga banyak varian sushi yang saya cicipi . rasa dan kualitas bahan di restoran ini biasa saja , sangat jauh dengan restoran-restoran sushi lainnya yang sering kita jumpai di pusat perbelanjaan besar . namun dengan harga 100 ribu , bisa dibilang kualitas nya sesuai dengan harga yang ditawarkan .",negative
138,datang ke sini sehari sebelum imlek jadi pilihan menu nya terbatas . gurame asam manis nya sudah dingin . mengecewakan .,negative
139,"memang kamu pikir ajaran kristen yang mengatakan orang-orang non kristen disebut domba sesat , itu tidak menghina ? coba deh sebelum kamu lompat pagar lebih jauh , cek dan analisa ajaran-ajaran kristen tersebut bukan hanya menghina , kristen juga memuat ajaran cabul yang tidak pantas disebut sebagai kitab suci",negative
140,partai ini berbahaya . kalau mereka menguasai birokrasi maka yang lain disingkirkan untuk memuluskan korupsi bermula agama,negative
141,maling yang sebenarnya sudah di pastikan bernama lulung,negative
142,dunia ini terasa terlalu sempit ! sempit karena terlalu banyak nya orang munafik ! seperti lo kan ? tak !,negative
143,dasar sunda bawa perasaan . sok ngurusin jakarta padahal warga nya paling miskin .,negative
144,"lembaran semalam , melelahkan syekalih",negative
145,"program indosat tidak guna , merugikan konsumen .",negative
146,"semua makanan yang pedas itu tidak enak tolong . sudah tidak enak di mulut , di lambung juga tidak enak",negative
147,ada udang dibalik batu kayak nya . mana ada presiden mencampuri rakyat ? sekarang kan prabowo sebagai masyarakat biasa selain ketua umum gerindra,negative
148,jalanan jakarta macet banget,negative
149,khofifah mau saja kerja bareng gus ipul padahal gus pul track record nya tidak bagus .,negative
150,muak banget sama pemerintahan jokowi . gue berharap 2019 ganti presiden .,negative
151,"rt : pak kemarin saya jalan di trotoar jalan riau . banyak bangku panjang yang posisi nya terlalu di tengah , malah menghambat",negative
152,"di banding bapak lain di kota bandung , lima serangkai boleh buat langganan . saya suka sosis babi nya . menu lain babi panggang sih standar buat saya . tidak ada yang spesial .",negative
153,"bagaimana bisa seorang presiden yang mengaku diri nya sudah haji , bapak nya haji , ibu nya haji membiarkan begitu saja para pendemo dari ciamis sampai jalan kaki ke jakarta tanpa ada perintah sedikitpun untuk menyelamatkan mereka . itu di mana letak hati nurani seorang presiden dan seorang kapolri . tidak ada .",negative
154,"resto ini dulu terkenal dengan talaga sari yang menawarkan dim sum yang enak , hanya saja setelah renovasi rasanya tidak seenak terdahulu , dan harga menjadi lebih mahal .",negative
155,gue marah marah pesan langsung indosat gapernah di respond fak,negative
156,mau marah ke telkom karena diblok terus sama telkomsel .,negative
157,kecewa sangat potong rambut di kompak sudah pelayan sembarangan yang potong rambut nguasu jadi nya pun mengecwkan ! kotor ! ncux,negative
158,"nah itulah mentalitas orang yang sok tahu seperti ini , dulu debat dengan saya tentang fpi dia kabur , karena miskin bahan dengan menuduh saya anak kecil , padahal anak kecil ini isi kepala nya jauh lebih banyak dari dia yang isi nya cuma kotoran",negative
159,kesal,negative
160,"saya topup gopay pelanggan via mandiri banking 50 ribu , sampai sekarang pulsa nya belum masuk . bagaimana , sih ?!",negative
161,gua enggak suka drama masalah nya bosan menonton sinetron,negative
162,"tak merasa mengusung , demokrat kecewa baligo balon bupati garut berlogo partai bertebaran",negative
163,malas gerak banget kerja . antara dah jenuh kerja di situ ingin mencari kerjaan baru,negative
164,"maaf , islam itu bukan agama . islam itu aliran sesat nga ku agama . menista islam bukan menista agama . malahan , islamlah penista agama sesungguhnya . semua agama lu katakan kafir . semua agama asli nusantara lu katakan cuma kepercayaan .",negative
165,"saya datang pas liburan , jadi ramai nya memang luar biasa . padat dan sungguh tidak nyaman , bahkan susah cari tempat duduk untuk makan . kafetaria yang ada di dalam sebenarnya adalah gerai-gerai makanan yang juga bisa ditemukan di luar dusun bambu , beda nya harga di sini hampir 40 % lebih mahal .",negative
166,"nah yang sulit itu kalau orang nya tidak ada niat buat brendi , bisa sih sedikit dinasehati misal anak masih kecil loh pak nanti kalau bapak sakit parah terus bagaimana masa depan mereka begitu saja terus tiap hari siapa tahu lama jadi kepikiran dan jadi ada niatan buat berenti",negative
167,"cina gila . otak nya di pantat ! biasa hidup di hutan sih , jadi tidak bisa hidup bertetangga",negative
168,cottage nya serem ga bisa tidur bos bangunan nya kayu-kayu tua yang tampak tidak terpelihara baik toiletries seadanya handuk kumal untuk penginapan nya saya kasih nilai minus .,negative
169,"muka sesat , kayak buddha julai .",negative
170,insyaallah prof . jomb . aman karena tidak ada nama nya ormas sprti fpi dan panser yang radikal dijomb .,negative
171,"oh iya diketerangan kan note 3 pro , kok yang dikirim note 3 ya , kecewa juragan",negative
172,"rasa masakan nya standar banget , menunggu nya juga lama . sangat mengecewakan sekali .",negative
173,"citarasa biasa saja , tidak ada yang spesial . harus menunggu cukup lama datang nya makanan , pelayan juga kurang ramah .",negative
174,orang sekarang kebanyakan sulit menghargai orang lain,negative
175,tolong cek email dengan benar ya mas atau mbak ! masa saya sudah mengirim email 5 kali tidak ada yang bertanggung jawab si,negative
176,menunggu kepastian itu sungguh melelahkan,negative
177,kami sekeluarga berencana makan siang di sini . tapi tidak ada satupun staf yang menyambut kami . sampai kami kira restoran masih tutup . karena ada beberapa staf yang masih mengenakan baju bebas . sampai akhirnya memilih menu dan datanglah makanan yang asin . menu untuk anak-anak ikan gindara benar benar sangat asin . begitu juga dengan soup yang saya pesan . untuk steak daging nya sangat . lanjutan,negative
178,aku bosan dengan drama sinetron ini . ku mohon segeralah berakhir . lelah aku mengikuti alur nya .,negative
179,duh indosat mengecewakan . aku mau daftar baru kok malah kena tarif per kb ? pulsa berkurrang drastis,negative
180,tidak setia,negative
181,tolonglah secepatnya perbaiki . jadi tidak nyaman dan tidak senang selaku pengguna indosat .,negative
182,"heroik kata nya . tetapi kabur tidak pulang-pulang , terus asik merengek minta dihilangkan tuduhan-tuduhan ke dia . duh , apa sudah kehabisan idola sampai yang pengecut begitu pun dipuja-puja .",negative
183,"penakut , komentar saja tidak berani apalagi menutup",negative
184,"dusun bambu tempat nya sangat cocok buat menghilangkan kepenatan . dari imam seniman , saya langsung ke dusun bambu . kira-kira perjalanan kami sekitar 30 menit . suasana nya asri , udara yang bersih . di situ ada tpt nama nya lutung kas arung . tempat nya di atas pohon . dan kami bertanya ke reservasi ternyata lutung kasarung tidak bisa buat 2 orang . ya , akhirnya kami kecewa .",negative
185,sudah bosan jadi pegawai,negative
186,"jangan tuntun jokowi realisasikan janji kampanye , karena itu semua hanya contoh cara menipu pemilih",negative
187,"kalian tahu ? kino selalu senyum melihat universe pas per recording hari ini padahal dia tahu news itu bakalan keluar dan hiu ? kita tahu sendiri dia jelek banget akting nya , tidak bisa menyembunyikan sesuatu . iya , dia diam saja selama per recording hari ini . sedih ? banget .",negative
188,"mampus kau keluarga ratu sabu , ratu gendut , itu karma buat kau yang sok suci sok bersih , ternyata keluarga mu biadab rupanya air mata buaya , mampus kau tidak ada yang simpati sama kau anjing !",negative
189,"di sini selalu ramai dan antrean bisa panjang sampai ke pinggir jalan , tapi enak dan worth it untuk dicoba . cuanki dan batagor nya enak dan cukup murah . hanya saja antrian nya bikin sesak dan jalur keluar masuk nya agak membingungkan apalagi saat membawa mangkuk bakso berkuah panas . agak kotor karena ada tempat sampah di bagian luar sehingga banyak lalat . jadi kurang nyaman .",negative
190,tidak pantas,negative
191,setuju tidak lu kalau ahok kita kirim untuk jihad ke palestina menebus dosa nya atas menghina agama islam .,negative
192,tidak setuju kalau ah jadi pendamping jokowi !,negative
193,tempat ini mengimingi makan steak dan daging dengan harga murah . namun kenyataan nya tidak murah jika dibandingkan dengan kualitas daging nya yang tidak enak . daging nya keras dan rasanya hambar .,negative
194,"batagor atau bakso tahu goreng merupakan kudapan yang diyakini khas bandung . namun ternyata merasakan batagor langsung di kota bandung tidak istimewa sama sekali . batagor riri yang digadang-gadang sebagai salah satu top nya batagor bandung ternyata rasanya biasa saja , bumbu kacang nya kental dan cenderung manis . konsep kedai nya dimodel seperti restoran cepat saji dan pelayanan yang diberikan sangat minimalis .",negative
195,indonesia hancur 2030 ? mungkin kau sudah mati duluan . sudah tua juga .,negative
196,"untuk usaha yang dikeluarkan ke tempat ini hasil nya biasa-biasa saja . yang mengecewakan adalah kualitas makanan nya . makanan hanya sekedar masak saja . untuk kelas kuliner bandung yang enak-enak , ini mengecewakan . pemandangan yang cukup bagus , hanya area nya tidak terlalu besar . ada karcis masuk per orang 10.000 dan mobil 15.000 .",negative
197,"waktu pertama buka , enak . tetapi makin ke sini kualitas nya menurun . mi nya kurang rasa , juga kuah nya .",negative
198,apa sih yang patut kita bangga dan puji dengan politikus ? apa yang sudah mereka lakukan kecuali cuap-cuap kosong ! lenyap dan tenggelamkan ke laut termasuk pdip,negative
199,info tabungan mandiri mitra usaha kok jadi tidak jelas begini ya di website yang sekarang,negative
